# 由 tools/GenerateDict 生成，请勿手工编辑
# emoji: Unicode emoji-test 17.0 + CLDR 46.0.0 中文标注 (Unicode License)
# 格式: 码位序列<TAB>类别(E 表情/M 数学/P 理化/S 其他/B 盲文/I 音标)<TAB>简洁读法<TAB>详细读法
127	I	清咽擦音	点 2 3 5 点 1 2 5 清咽擦音	
14B	I	软腭鼻音	点 1 2 4 6 浊软腭鼻音	
1C0	I	齿搭嘴音	点 1 2 3 4 6 点 1 4 5 6 齿搭嘴音	
1C1	I	齿龈边搭嘴音	点 1 2 3 4 6 点 1 2 3 齿龈边搭嘴音	
1C2	I	龈腭搭嘴音	点 1 2 3 4 6 点 1 5 6 龈腭搭嘴音	
1C3	I	齿龈搭嘴音	点 1 2 3 4 6 点 2 3 4 5 齿龈搭嘴音	
1DC4	I	高升调	点 4 点 2 4 高升调	
1DC5	I	低升调	点 4 点 3 5 低升调	
1DC8	I	升降调	点 4 点 2 5 6 升降调	
1F004	E	红中	红中：麻将牌，白底中央一个红色的中字。常表示打麻将。	
1F0CF	E	大小王	大小王：扑克牌，牌面是戴尖帽铃铛的小丑。常表示王牌、万能。	
1F170	E	A型血	A型血：红色方块上印着字母 A。	
1F170 FE0F	E	A型血	A型血：红色方块上印着字母 A。	
1F171	E	B型血	B型血：红色方块上印着字母 B。	
1F171 FE0F	E	B型血	B型血：红色方块上印着字母 B。	
1F17E	E	O型血	O型血：红色方块上印着字母 O。	
1F17E FE0F	E	O型血	O型血：红色方块上印着字母 O。	
1F17F	E	停车P标志	停车P标志：蓝色方块上印着大写字母 P。常表示停车场。	
1F17F FE0F	E	停车P标志	停车P标志：蓝色方块上印着大写字母 P。常表示停车场。	
1F18E	E	AB型血	AB型血：红色方块上印着字母 AB。	
1F191	E	CL按钮	CL按钮：红色方块上印着字母 CL。常表示清除、清零。	
1F192	E	COOL按钮	COOL按钮：蓝色方块上印着英文 COOL。常表示酷、赞。	
1F193	E	FREE按钮	FREE按钮：蓝色方块上印着英文 FREE。常表示免费。	
1F194	E	ID按钮	ID按钮：蓝色方块上印着字母 ID。常表示身份、证件。	
1F195	E	NEW按钮	NEW按钮：蓝色方块上印着英文 NEW。常表示新的、上新。	
1F196	E	NG按钮	NG按钮：蓝色方块上印着字母 NG。常表示不行、不合格。	
1F197	E	OK按钮	OK按钮：蓝色方块上印着字母 OK。常表示同意、没问题。	
1F198	E	SOS按钮	SOS按钮：红色方块上印着字母 SOS。常表示求救、紧急求助。	
1F199	E	UP按钮	UP按钮：蓝色方块上印着 UP 和感叹号。常表示升级、提升。	
1F19A	E	VS按钮	VS按钮：橙色方块上印着字母 VS。常表示对战、比较。	
1F1E6 1F1E8	E	阿森松岛旗帜	阿森松岛旗帜：蓝底，左上角有英国国旗，右半边有一枚盾徽。	
1F1E6 1F1E9	E	安道尔国旗	安道尔国旗：蓝黄红三道竖条，自左至右，中间有彩色国徽。	
1F1E6 1F1EA	E	阿拉伯联合酋长国国旗	阿拉伯联合酋长国国旗：左侧一道红竖条，右侧绿白黑三道横条，自上而下。	
1F1E6 1F1EB	E	阿富汗国旗	阿富汗国旗：黑红绿三道竖条，自左至右，中间有白色徽记。	
1F1E6 1F1EC	E	安提瓜和巴布达国旗	安提瓜和巴布达国旗：红底，中间倒三角自上而下黑蓝白三色，黑色部分有金色旭日。	
1F1E6 1F1EE	E	安圭拉旗帜	安圭拉旗帜：蓝底，左上角有英国国旗，右侧三条橙色海豚围成一圈。	
1F1E6 1F1F1	E	阿尔巴尼亚国旗	阿尔巴尼亚国旗：红底，正中一只黑色双头鹰。	
1F1E6 1F1F2	E	亚美尼亚国旗	亚美尼亚国旗：红蓝橙三道横条，自上而下。	
1F1E6 1F1F4	E	安哥拉国旗	安哥拉国旗：上红下黑两道横条，中间有黄色齿轮、砍刀和五角星。	
1F1E6 1F1F6	E	南极洲旗帜	南极洲旗帜：蓝底，正中一幅白色的南极大陆地图。	
1F1E6 1F1F7	E	阿根廷国旗	阿根廷国旗：淡蓝、白、淡蓝三道横条，中间一个带人脸的金色太阳。	
1F1E6 1F1F8	E	美属萨摩亚旗帜	美属萨摩亚旗帜：蓝底，中间一个红边白三角，里面一只白头鹰。	
1F1E6 1F1F9	E	奥地利国旗	奥地利国旗：红白红三道横条，自上而下。	
1F1E6 1F1FA	E	澳大利亚国旗	澳大利亚国旗：蓝底，左上角有英国国旗，其余部分六颗白星。	
1F1E6 1F1FC	E	阿鲁巴旗帜	阿鲁巴旗帜：浅蓝底，左上角一颗白边红色四角星，下方两道细黄横条。	
1F1E6 1F1FD	E	奥兰群岛旗帜	奥兰群岛旗帜：蓝底，一个黄色十字偏左，黄十字中间套着红色十字。	
1F1E6 1F1FF	E	阿塞拜疆国旗	阿塞拜疆国旗：蓝红绿三道横条，中间红条上有白色新月和八角星。	
1F1E7 1F1E6	E	波黑国旗	波黑国旗：蓝底，上方一个黄色三角形，沿斜边一排白色星星。	
1F1E7 1F1E7	E	巴巴多斯国旗	巴巴多斯国旗：蓝黄蓝三道竖条，中间一个黑色三叉戟头。	
1F1E7 1F1E9	E	孟加拉国国旗	孟加拉国国旗：深绿底，中间偏左一个红色圆。	
1F1E7 1F1EA	E	比利时国旗	比利时国旗：黑黄红三道竖条，自左至右。	
1F1E7 1F1EB	E	布基纳法索国旗	布基纳法索国旗：上红下绿两道横条，正中一颗黄色五角星。	
1F1E7 1F1EC	E	保加利亚国旗	保加利亚国旗：白绿红三道横条，自上而下。	
1F1E7 1F1ED	E	巴林国旗	巴林国旗：左边白色，右边红色，两色之间是五个尖齿的锯齿线。	
1F1E7 1F1EE	E	布隆迪国旗	布隆迪国旗：白色斜十字分出上下红、左右绿，中央白圆内三颗红星。	
1F1E7 1F1EF	E	贝宁国旗	贝宁国旗：左侧一道绿竖条，右侧上黄下红两道横条。	
1F1E7 1F1F1	E	圣巴泰勒米旗帜	圣巴泰勒米旗帜：蓝白红三道竖条，自左至右，同法国国旗。	
1F1E7 1F1F2	E	百慕大旗帜	百慕大旗帜：红底，左上角有英国国旗，右侧一只红狮子举着盾牌。	
1F1E7 1F1F3	E	文莱国旗	文莱国旗：黄底，两道白黑斜条自左上到右下，中央有红色国徽。	
1F1E7 1F1F4	E	玻利维亚国旗	玻利维亚国旗：红黄绿三道横条，自上而下，中间有彩色国徽。	
1F1E7 1F1F6	E	荷属加勒比区旗帜	荷属加勒比区旗帜：红白蓝三道横条，自上而下，同荷兰国旗。	
1F1E7 1F1F7	E	巴西国旗	巴西国旗：绿底，中间一个黄色菱形，菱形里有蓝色圆球和白色弧带。	
1F1E7 1F1F8	E	巴哈马国旗	巴哈马国旗：青绿、黄、青绿三道横条，左侧一个黑色三角形。	
1F1E7 1F1F9	E	不丹国旗	不丹国旗：对角分成上黄下橙两块，中间一条白色的龙。	
1F1E7 1F1FB	E	布韦岛旗帜	布韦岛旗帜：红底，一个白边蓝十字偏左，同挪威国旗。	
1F1E7 1F1FC	E	博茨瓦纳国旗	博茨瓦纳国旗：浅蓝底，中间一道黑横条，黑条上下各有一道细白边。	
1F1E7 1F1FE	E	白俄罗斯国旗	白俄罗斯国旗：上红下绿两道横条，左侧一道白底红色花纹。	
1F1E7 1F1FF	E	伯利兹国旗	伯利兹国旗：蓝底，上下各一道红横条，中央白圆内有彩色国徽。	
1F1E8 1F1E6	E	加拿大国旗	加拿大国旗：红白红三道竖条，中间白条上有一片红色枫叶。	
1F1E8 1F1E8	E	科科斯群岛旗帜	科科斯群岛旗帜：绿底，左上角一棵椰树，中间金色新月，右侧金色星星。	
1F1E8 1F1E9	E	刚果（金）国旗	刚果（金）国旗：天蓝底，一道黄边红色斜条，左上角一颗黄星。	
1F1E8 1F1EB	E	中非共和国国旗	中非共和国国旗：蓝白绿黄四道横条，中间一道红竖条，左上角一颗黄星。	
1F1E8 1F1EC	E	刚果（布）国旗	刚果（布）国旗：斜着分成三块，左上绿色，中间黄斜条，右下红色。	
1F1E8 1F1ED	E	瑞士国旗	瑞士国旗：正方形红底，正中一个白色十字。	
1F1E8 1F1EE	E	科特迪瓦国旗	科特迪瓦国旗：橙白绿三道竖条，自左至右。	
1F1E8 1F1F0	E	库克群岛旗帜	库克群岛旗帜：蓝底，左上角有英国国旗，右侧十五颗白星围成一圈。	
1F1E8 1F1F1	E	智利国旗	智利国旗：上白下红两道横条，左上角一个蓝方块，内有一颗白色五角星。	
1F1E8 1F1F2	E	喀麦隆国旗	喀麦隆国旗：绿红黄三道竖条，自左至右，中间红条上一颗黄星。	
1F1E8 1F1F3	E	中国国旗	中国国旗：红底，左上角一颗大黄星，外侧弧形排列四颗小黄星。	
1F1E8 1F1F4	E	哥伦比亚国旗	哥伦比亚国旗：黄蓝红三道横条，自上而下，黄条最宽，占一半。	
