# 国旗 emoji：简洁名沿用 Unicode 官方中文国名，详细档描述旗面图案（盲人看不到旗子长什么样，这一段是全部价值所在）。
# 简洁名走「明眼人会怎么称呼它」，详细档走「视觉信息 + 常见用法」。
# 由 Opus 5 分批生成，码位与字符对应、简洁名长度、批内与全局重名均已逐条校验。
1F1E6 1F1E8	阿森松岛旗帜	阿森松岛旗帜：蓝底，左上角有英国国旗，右半边有一枚盾徽。	E
1F1E6 1F1E9	安道尔国旗	安道尔国旗：蓝黄红三道竖条，自左至右，中间有彩色国徽。	E
1F1E6 1F1EA	阿拉伯联合酋长国国旗	阿拉伯联合酋长国国旗：左侧一道红竖条，右侧绿白黑三道横条，自上而下。	E
1F1E6 1F1EB	阿富汗国旗	阿富汗国旗：黑红绿三道竖条，自左至右，中间有白色徽记。	E
1F1E6 1F1EC	安提瓜和巴布达国旗	安提瓜和巴布达国旗：红底，中间倒三角自上而下黑蓝白三色，黑色部分有金色旭日。	E
1F1E6 1F1EE	安圭拉旗帜	安圭拉旗帜：蓝底，左上角有英国国旗，右侧三条橙色海豚围成一圈。	E
1F1E6 1F1F1	阿尔巴尼亚国旗	阿尔巴尼亚国旗：红底，正中一只黑色双头鹰。	E
1F1E6 1F1F2	亚美尼亚国旗	亚美尼亚国旗：红蓝橙三道横条，自上而下。	E
1F1E6 1F1F4	安哥拉国旗	安哥拉国旗：上红下黑两道横条，中间有黄色齿轮、砍刀和五角星。	E
1F1E6 1F1F6	南极洲旗帜	南极洲旗帜：蓝底，正中一幅白色的南极大陆地图。	E
1F1E6 1F1F7	阿根廷国旗	阿根廷国旗：淡蓝、白、淡蓝三道横条，中间一个带人脸的金色太阳。	E
1F1E6 1F1F8	美属萨摩亚旗帜	美属萨摩亚旗帜：蓝底，中间一个红边白三角，里面一只白头鹰。	E
1F1E6 1F1F9	奥地利国旗	奥地利国旗：红白红三道横条，自上而下。	E
1F1E6 1F1FA	澳大利亚国旗	澳大利亚国旗：蓝底，左上角有英国国旗，其余部分六颗白星。	E
1F1E6 1F1FC	阿鲁巴旗帜	阿鲁巴旗帜：浅蓝底，左上角一颗白边红色四角星，下方两道细黄横条。	E
1F1E6 1F1FD	奥兰群岛旗帜	奥兰群岛旗帜：蓝底，一个黄色十字偏左，黄十字中间套着红色十字。	E
